partition,client_id,samples,normal_samples,anomaly_samples,normal_percentage,anomaly_percentage,min_file_index,max_file_index
balanced_noniid,1,79,41,38,0.5189873417721519,0.4810126582278481,50,983
balanced_noniid,2,79,13,66,0.16455696202531644,0.8354430379746836,46,976
balanced_noniid,3,79,77,2,0.9746835443037974,0.02531645569620253,22,952
balanced_noniid,4,79,44,35,0.5569620253164557,0.4430379746835443,7,981
balanced_noniid,5,79,77,2,0.9746835443037974,0.02531645569620253,5,721
balanced_noniid,6,79,76,3,0.9620253164556962,0.0379746835443038,3,889
balanced_noniid,7,79,60,19,0.759493670886076,0.24050632911392406,2,979
balanced_noniid,8,78,73,5,0.9358974358974359,0.0641025641025641,0,874
balanced_noniid,9,78,67,11,0.8589743589743589,0.14102564102564102,6,977
balanced_noniid,10,78,25,53,0.32051282051282054,0.6794871794871795,18,980
