partition,client_id,samples,normal_samples,anomaly_samples,normal_percentage,anomaly_percentage,min_file_index,max_file_index
iid,1,79,52,27,0.6582278481012658,0.34177215189873417,0,969
iid,2,79,55,24,0.6962025316455697,0.3037974683544304,8,979
iid,3,79,53,26,0.6708860759493671,0.3291139240506329,17,983
iid,4,79,55,24,0.6962025316455697,0.3037974683544304,16,968
iid,5,79,63,16,0.7974683544303798,0.20253164556962025,9,946
iid,6,79,58,21,0.7341772151898734,0.26582278481012656,11,977
iid,7,79,57,22,0.7215189873417721,0.27848101265822783,23,982
iid,8,78,55,23,0.7051282051282052,0.2948717948717949,2,972
iid,9,78,52,26,0.6666666666666666,0.3333333333333333,7,976
iid,10,78,53,25,0.6794871794871795,0.32051282051282054,5,980
