partition,client_id,samples,normal_samples,anomaly_samples,normal_percentage,anomaly_percentage,min_file_index,max_file_index
noniid,1,13,9,4,0.6923076923076923,0.3076923076923077,23,969
noniid,2,36,34,2,0.9444444444444444,0.05555555555555555,2,839
noniid,3,53,16,37,0.3018867924528302,0.6981132075471698,18,964
noniid,4,28,4,24,0.14285714285714285,0.8571428571428571,155,966
noniid,5,11,10,1,0.9090909090909091,0.09090909090909091,12,980
noniid,6,21,4,17,0.19047619047619047,0.8095238095238095,84,976
noniid,7,107,103,4,0.9626168224299065,0.037383177570093455,5,947
noniid,8,23,2,21,0.08695652173913043,0.9130434782608695,376,974
noniid,9,180,76,104,0.4222222222222222,0.5777777777777777,3,981
noniid,10,315,295,20,0.9365079365079365,0.06349206349206349,0,983
