partition,client_id,samples,normal_samples,anomaly_samples,normal_percentage,anomaly_percentage
train_pool,global,787,553,234,0.7026683608640406,0.29733163913595934
global_test,global,197,139,58,0.7055837563451777,0.29441624365482233
iid,1,79,52,27,0.6582278481012658,0.34177215189873417
iid,2,79,55,24,0.6962025316455697,0.3037974683544304
iid,3,79,53,26,0.6708860759493671,0.3291139240506329
iid,4,79,55,24,0.6962025316455697,0.3037974683544304
iid,5,79,63,16,0.7974683544303798,0.20253164556962025
iid,6,79,58,21,0.7341772151898734,0.26582278481012656
iid,7,79,57,22,0.7215189873417721,0.27848101265822783
iid,8,78,55,23,0.7051282051282052,0.2948717948717949
iid,9,78,52,26,0.6666666666666666,0.3333333333333333
iid,10,78,53,25,0.6794871794871795,0.32051282051282054
noniid,1,13,9,4,0.6923076923076923,0.3076923076923077
noniid,2,36,34,2,0.9444444444444444,0.05555555555555555
noniid,3,53,16,37,0.3018867924528302,0.6981132075471698
noniid,4,28,4,24,0.14285714285714285,0.8571428571428571
noniid,5,11,10,1,0.9090909090909091,0.09090909090909091
noniid,6,21,4,17,0.19047619047619047,0.8095238095238095
noniid,7,107,103,4,0.9626168224299065,0.037383177570093455
noniid,8,23,2,21,0.08695652173913043,0.9130434782608695
noniid,9,180,76,104,0.4222222222222222,0.5777777777777777
noniid,10,315,295,20,0.9365079365079365,0.06349206349206349
