ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_peak_to_peak,ch1_kurtosis,ch1_skewness,ch1_crest_factor,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_peak_to_peak,ch2_kurtosis,ch2_skewness,ch2_crest_factor,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_peak_to_peak,ch3_kurtosis,ch3_skewness,ch3_crest_factor,ch4_mean,ch4_std,ch4_rms,ch4_min,ch4_max,ch4_peak_to_peak,ch4_kurtosis,ch4_skewness,ch4_crest_factor,dataset,file_index,timestamp,quantization_error,label
-0.01019599609375,0.0734749310430519,0.0741789985651262,-0.386,0.454,0.8400000000000001,0.6287626426442561,0.0839934354125321,6.120330670078885,-0.0126949707031249,0.0900534746415632,0.0909438869642807,-0.513,0.464,0.977,0.5068005370841773,0.126914860438278,5.640840930802152,-0.0145409667968749,0.1084335093891196,0.1094041391987895,-0.911,1.023,1.934,3.213074668222574,0.204839716409692,9.350651698212598,-0.0100259765625,0.0531663902091768,0.0541034680395466,-0.264,0.193,0.457,0.0659590511486278,-0.0220800088349978,4.879539326428222,2nd_test,0,2004.02.12.10.32.39,0.0757072838694456,0
-0.002483984375,0.0761892927992494,0.0762297744691993,-0.4,0.503,0.903,0.5134753088232071,0.0328079981150351,6.5984715748652585,-0.0016954589843749,0.0937025602830463,0.0937178978891739,-0.503,0.491,0.994,0.3107892284776641,0.0965825629786197,5.367171173530327,-0.0015954589843749,0.1098494640622784,0.1098610497134476,-0.786,0.933,1.719,2.639947862656676,0.0565606663193521,8.492545833351002,-0.0034853515625,0.0560369339723099,0.0561452192491155,-0.334,0.354,0.688,0.2572364127659483,0.0704490604652977,6.305078236902098,2nd_test,2,2004.02.12.10.52.39,0.0781627720003573,0
-0.002276611328125,0.0786907508998915,0.0787236764660297,-0.576,0.608,1.184,1.1579527230048088,0.0414859617161303,7.723216537716405,-0.0023928222656249,0.0929162936950619,0.0929470991070828,-0.474,0.569,1.043,0.2353407404249003,0.1058340404268835,6.121761792031214,-0.00314794921875,0.1106217530671688,0.1106665343992369,-0.935,1.016,1.951,2.682779117744172,0.0335500848884684,9.18073386418274,-0.0037407714843749,0.056684131461645,0.0568074302434054,-0.525,0.513,1.038,0.8061900787493554,-0.0363270970195742,9.241748794854235,2nd_test,3,2004.02.12.11.02.39,0.0782895727521659,0
-0.001623095703125,0.0782978200014478,0.0783146413938072,-0.366,0.439,0.8049999999999999,0.4560936214628643,0.026852972301411,5.605592928490489,-0.001452587890625,0.0923933015221037,0.0924047194559583,-0.386,0.574,0.96,0.1856375972262234,0.0608046341895215,6.211803935700123,-0.000841552734375,0.1105140233515848,0.1105172274731834,-0.781,0.862,1.643,1.8624281531683409,0.0774140369977696,7.799688968865609,-0.002821826171875,0.0554942295545455,0.0555659267608925,-0.242,0.247,0.489,0.149407338377193,0.0127415744727425,4.44517016801372,2nd_test,5,2004.02.12.11.22.39,0.0779473945173037,0
-0.0016064453124999,0.0786160318654563,0.0786324432585717,-0.408,0.388,0.796,0.4786149756059883,0.0585945791507246,5.188697986315403,-0.001695947265625,0.093903171659097,0.0939184853198007,-0.457,0.583,1.04,0.2501083955512979,0.0992138544432151,6.207510672777846,-0.00185634765625,0.1073718661719825,0.1073879121310913,-0.718,0.896,1.614,1.8220329786922909,0.1456167593280247,8.343583390446073,-0.0029048828125,0.0562040579362548,0.056279076686245,-0.217,0.239,0.4559999999999999,0.1077937548325289,-0.0197747493528394,4.246693692723044,2nd_test,6,2004.02.12.11.32.39,0.0773757759554178,0
-0.00202666015625,0.0777464696757902,0.0777728802246483,-0.334,0.415,0.749,0.4719824550317817,0.0825818179550488,5.336050288942996,-0.00174365234375,0.0932242110406968,0.0932405161271442,-0.41,0.41,0.82,0.1037504492141558,0.0869128229556518,4.397230056475879,-0.0017033203125,0.1062189792432384,0.106232635529589,-0.776,0.771,1.5470000000000002,1.4448963659987744,0.0014656274776144,7.304723224875238,-0.002330029296875,0.0554557565468079,0.0555046842230736,-0.227,0.229,0.456,0.209791004669348,-0.0171488597757428,4.125777908681036,2nd_test,7,2004.02.12.11.42.39,0.077079534704165,0
-0.0019162109375,0.0790061954336051,0.0790294298426225,-0.361,0.386,0.747,0.404514320897305,-0.0080602937107421,4.884256418954148,-0.0008009765624999,0.0958558973952702,0.0958592438365035,-0.613,0.457,1.07,0.4514264068174758,0.035304014518861,6.394792775948983,-0.001314208984375,0.1105786094170331,0.1105864187224605,-0.769,0.967,1.736,2.3845540569234336,0.0341613191434938,8.744292573739473,-0.002539111328125,0.055797356162089,0.0558550986125315,-0.33,0.227,0.557,0.1598373115450946,0.0083426519670024,5.90814461332011,2nd_test,8,2004.02.12.11.52.39,0.0785438479107229,0
-0.002096630859375,0.0756885263166924,0.0757175598983031,-0.344,0.378,0.722,0.32520331504832,0.0463210669448799,4.992236946128513,-0.00171689453125,0.0947263133513455,0.0947418712500906,-0.466,0.417,0.883,0.196032358893337,0.0895134384682029,4.918627781427059,-0.001896240234375,0.1097543689759166,0.1097707485459041,-0.664,0.781,1.445,1.4615057334105144,0.0062993013316436,7.11482804242958,-0.0027732910156249,0.0553902298073814,0.0554596132439803,-0.254,0.291,0.5449999999999999,0.206106647540921,0.0296855264587324,5.247061473627183,2nd_test,9,2004.02.12.12.02.39,0.0776377755623721,0
-0.001791259765625,0.0792208680176358,0.0792411164801179,-0.415,0.4,0.815,0.4552119318712826,0.0335197467618938,5.237180120990453,-0.001935546875,0.095126415920873,0.0951461052679312,-0.393,0.4,0.793,0.1700577747770562,0.0822445482627254,4.204060679829162,-0.002017041015625,0.1060045264208711,0.1060237146876672,-0.608,0.61,1.218,1.1014436437540749,0.061319784870657,5.753429803805978,-0.0030745605468749,0.0554383037683263,0.0555234945519968,-0.249,0.291,0.54,0.1744089633248347,0.036172489638983,5.241024585047365,2nd_test,10,2004.02.12.12.12.39,0.0777390456276705,0
-0.001555029296875,0.0776233336871973,0.077638908086269,-0.439,0.474,0.913,0.6415150749455005,0.0195652981323881,6.1051863257428405,-0.001974072265625,0.0933081873878812,0.0933290672562512,-0.415,0.403,0.8180000000000001,0.0591476196236211,0.0700584167610666,4.446631817889042,-0.001922607421875,0.1045864527100282,0.1046041228143787,-0.728,0.867,1.595,1.6360985486862392,0.1048336718447379,8.28839224176865,-0.002776904296875,0.0547037269120932,0.0547741630291771,-0.276,0.229,0.505,0.1100550414613756,0.0015078217586123,5.038872065428755,2nd_test,11,2004.02.12.12.22.39,0.0762091210221193,0
-0.00245126953125,0.0773657574015155,0.077404580876231,-0.378,0.4,0.778,0.3647260382142652,0.0257700551009951,5.16765281158782,-0.001786181640625,0.0943636149717533,0.0943805185162204,-0.43,0.615,1.045,0.2904622065873399,0.0928213673616944,6.516175262247459,-0.001860888671875,0.1044057665807019,0.1044223491497539,-0.598,0.615,1.213,1.1545225133803472,-0.0149687267466589,5.889543809363336,-0.003140380859375,0.054599594262274,0.0546898316467227,-0.222,0.234,0.456,0.0449189911528482,-0.0336901203381117,4.278674717949031,2nd_test,12,2004.02.12.12.32.39,0.0765688584785179,0
-0.0015209960937499,0.0786470709320779,0.0786617772193871,-0.371,0.354,0.725,0.5530516614826197,-0.013483613994623,4.716394837616838,-0.00122109375,0.0946232029241042,0.0946310815829688,-0.513,0.474,0.987,0.1959868254526617,0.0805929465007058,5.4210518511806365,-0.001826806640625,0.1047079571157662,0.1047238917623833,-0.671,0.725,1.396,1.3682988461680416,0.0248041746498652,6.92296655321108,-0.003251123046875,0.0562289637201634,0.0563228742351575,-0.247,0.291,0.538,0.1938711839800735,0.0370610988828819,5.16663973468149,2nd_test,15,2004.02.12.13.02.39,0.077165366313301,0
-0.0020170898437499,0.0784274489384918,0.078453383600948,-0.381,0.439,0.8200000000000001,0.4799660990734948,0.0164555313351937,5.595679623295425,-0.0012224609375,0.0956860937570085,0.0956939023617427,-0.43,0.476,0.906,0.165848195193623,0.0986409661498912,4.974193634570857,-0.00162607421875,0.1086957682837348,0.1087079305301883,-0.757,0.962,1.719,2.0724590260877376,-0.0387628652470474,8.849400363886073,-0.002717138671875,0.0561138605943057,0.0561796065610945,-0.3,0.276,0.5760000000000001,0.2139803382727145,-0.0200155721917075,5.3400160371079535,2nd_test,16,2004.02.12.13.12.39,0.0783287481524042,0
-0.001661767578125,0.0776049843558754,0.0776227741604187,-0.444,0.405,0.849,0.4477488811593342,0.0203905108983827,5.71997077915161,-0.001669921875,0.092927570888536,0.0929425740460877,-0.41,0.454,0.864,0.1176072740378524,0.0964077773366913,4.884736673744251,-0.001410791015625,0.1042058568240989,0.1042154063837702,-0.769,0.984,1.753,2.3669886579075623,0.0581502460932949,9.441982084366744,-0.0027646484375,0.0547601988242101,0.0548299430626186,-0.278,0.308,0.5860000000000001,0.2029543008346217,-0.0336121488104585,5.617368590783156,2nd_test,17,2004.02.12.13.22.39,0.075725837664726,0
-0.002757177734375,0.0777767028115613,0.0778255583294901,-0.405,0.356,0.761,0.341445316373242,0.0035138311433548,5.2039459618156165,-0.00177392578125,0.0949502283467705,0.0949667977546955,-0.425,0.405,0.8300000000000001,0.1374079413435138,0.1059207878864066,4.475248297761108,-0.001863330078125,0.1052133018666928,0.1052298003831228,-0.649,0.676,1.3250000000000002,1.1526700310009694,0.0835958898928621,6.424035753487902,-0.003074755859375,0.0555412213845681,0.0556262653472653,-0.222,0.229,0.451,0.0922079817125856,-0.0004287214322969,4.116760285204751,2nd_test,18,2004.02.12.13.32.39,0.076919725664943,0
-0.0022611328125,0.0789007675885379,0.0789331606338948,-0.403,0.471,0.874,0.5964296522845243,-0.0321235718234083,5.967073866186725,-0.0007662109375,0.0954724095600687,0.0954754841119239,-0.454,0.479,0.933,0.2425243166798711,0.1416567328034441,5.016994723309923,-0.0014248046875,0.1067513223990514,0.1067608303749261,-0.935,0.918,1.853,2.455067043287835,0.0269737654220561,8.757893664817695,-0.00307001953125,0.0546777998504328,0.0547639189284902,-0.229,0.215,0.444,0.0815636614284054,-0.0159726489183855,4.1815853298381125,2nd_test,19,2004.02.12.13.42.39,0.0774775688571358,0
-0.001801708984375,0.0794662982995857,0.0794867204047514,-0.342,0.344,0.6859999999999999,0.4149724425540562,0.0197077538694556,4.327766930677256,-0.001448779296875,0.0943236616027936,0.0943347873247688,-0.347,0.417,0.764,0.1334861481249847,0.1042897768253586,4.420426566076442,-0.0012916503906249,0.1065206729156787,0.1065285037872053,-0.618,0.972,1.59,1.9633041034020016,0.179469427378601,9.124318519787735,-0.0027037109374999,0.0546861161065831,0.0547529117733134,-0.293,0.269,0.562,0.2284064437457211,-0.0197333673939046,5.35131357411126,2nd_test,22,2004.02.12.14.12.39,0.0770786850208069,0
-0.002245849609375,0.0797213154805786,0.0797529434091424,-0.393,0.366,0.759,0.5200740317916859,-0.0385188950953316,4.927717814487846,-0.00142275390625,0.0962614587833755,0.0962719724311351,-0.466,0.422,0.888,0.1871939286863475,0.1386643613779274,4.840453438600695,-0.001348388671875,0.1051818489566649,0.1051904914997221,-0.684,0.669,1.3530000000000002,1.2544789369804352,0.0005211760099323,6.502488867972482,-0.00309033203125,0.0565632540029777,0.0566476112070822,-0.264,0.222,0.486,0.0815873750234383,0.0072218876796634,4.660390692032104,2nd_test,23,2004.02.12.14.22.39,0.078338082538243,0
-0.001977001953125,0.0793567653045754,0.0793813878458176,-0.437,0.413,0.85,0.4846810415588352,-0.0365491771140678,5.505068780647667,-0.0013240234375,0.0967324479850838,0.0967415088328169,-0.4,0.667,1.0670000000000002,0.3711304232280987,0.1712272214826448,6.894661950598434,-0.00237470703125,0.1079761942301264,0.1080023043916482,-0.681,0.847,1.528,1.387538137119228,0.0731851479901927,7.842425259008225,-0.002956982421875,0.0560260677598258,0.0561040463217393,-0.217,0.22,0.437,0.1358328182378487,-0.0450570606163091,3.921285797007345,2nd_test,24,2004.02.12.14.32.39,0.0788149601203925,0
-0.002174072265625,0.0775614154437837,0.0775918794453348,-0.308,0.405,0.7130000000000001,0.3099755507638151,0.0266197723662214,5.219618378752014,-0.00150888671875,0.0947391294840797,0.0947511445552572,-0.381,0.603,0.984,0.2615943824726452,0.1441104129130868,6.364039218987764,-0.0019612792968749,0.1065750529388105,0.106593097925666,-0.688,0.566,1.254,1.022536467478275,-0.0045346871984464,6.454451680101563,-0.0032119140625,0.0554067621473125,0.0554997809328446,-0.259,0.242,0.501,0.1271939001086788,-0.0341557767317721,4.666685086716397,2nd_test,25,2004.02.12.14.42.39,0.0775066304235936,0
-0.0015153320312499,0.077726225761829,0.0777409956351457,-0.388,0.344,0.732,0.3680421199233374,0.0013370289616362,4.990931706302962,-0.0015135253906249,0.096234534637559,0.0962464358613638,-0.42,0.442,0.862,0.1566551621494887,0.0983672282095081,4.592377847965999,-0.002003857421875,0.1056096135000783,0.1056286225802605,-0.713,0.608,1.321,1.612231805636073,-0.0599626600938713,6.750064353546655,-0.003076416015625,0.0551323174923468,0.0552180837007055,-0.237,0.227,0.4639999999999999,0.0949560451636615,-0.003805751349074,4.292072163900168,2nd_test,26,2004.02.12.14.52.39,0.0775795175113443,0
-0.0023556640625,0.0782440915248135,0.0782795440183369,-0.344,0.391,0.735,0.3419917127536731,0.0336968760418546,4.99491923334931,-0.0013390625,0.0946740217175947,0.0946834910454959,-0.522,0.403,0.925,0.2331517446347866,0.1068798422726838,5.513104705271833,-0.001291650390625,0.1065467320106957,0.1065545609670962,-0.535,0.728,1.263,1.20232900829488,0.1329241815661579,6.832180559760106,-0.003020556640625,0.0550811219688415,0.05516388093459,-0.276,0.242,0.518,0.1245815093004498,-0.0251609386296664,5.003273796531117,2nd_test,28,2004.02.12.15.12.39,0.0774179369327595,0
-0.00244453125,0.0788232846592158,0.0788611814361159,-0.488,0.383,0.871,0.5350200636292444,-0.0068174888782596,6.188088881081904,-0.001529052734375,0.095864855108643,0.0958770485948833,-0.474,0.474,0.948,0.2907499147594046,0.089013394469668,4.943831781867677,-0.001786328125,0.1048934389919054,0.1049086484124104,-0.723,0.776,1.499,2.017434683384363,-0.0131306409946257,7.396911615351666,-0.00291376953125,0.0551704716602324,0.0552473618926166,-0.266,0.283,0.5489999999999999,0.2345610991748845,-0.0381566600803578,5.122416533570234,2nd_test,29,2004.02.12.15.22.39,0.0772794352462734,0
-0.0022748046875,0.0785494350087652,0.0785823674660066,-0.4,0.403,0.803,0.4890447103350155,-0.0026227136240164,5.128376924622465,-0.002049658203125,0.0949000225611655,0.0949221543205766,-0.452,0.452,0.904,0.1655068894218261,0.119998155319044,4.761796687301441,-0.0014609863281249,0.1048632230491029,0.1048734000082808,-0.64,0.635,1.275,0.9570967413089556,0.0138449245402346,6.102596081974674,-0.0034757812499999,0.0543237851424415,0.0544348664690196,-0.225,0.222,0.447,0.0734951184794376,-0.039652698569022,4.13338021365259,2nd_test,30,2004.02.12.15.32.39,0.0769108168546963,0
-0.001818603515625,0.0802103037504367,0.0802309176470291,-0.378,0.396,0.774,0.4867117699711172,0.0230622075772486,4.935753093804076,-0.0017956054687499,0.0948762404204187,0.0948932305030896,-0.466,0.427,0.893,0.1657361179752685,0.1364709642541114,4.910782334256359,-0.0016982421875,0.1048905147047868,0.1049042615986714,-0.679,0.637,1.316,1.1352691918982902,-0.0222789700043889,6.472568317492703,-0.00293701171875,0.0567331596473365,0.0568091316727007,-0.239,0.234,0.473,0.1435002725648448,-0.0015947123342306,4.207070112825591,2nd_test,31,2004.02.12.15.42.39,0.0771344124946851,0
-0.0019884765625,0.0789911001960292,0.0790161246152881,-0.364,0.376,0.74,0.404492415747514,0.02973078517796,4.758522413316285,-0.00178076171875,0.0962442088406221,0.0962606817327627,-0.476,0.459,0.935,0.2295606492347852,0.1241903212953412,4.944905764500172,-0.0025443359375,0.1066988743714625,0.1067292061129473,-0.876,0.745,1.621,1.7143269486039925,0.0285064876097611,8.207687772592964,-0.003243896484375,0.0558877741344923,0.0559818377878877,-0.291,0.251,0.542,0.1527706475195329,-0.0151665749701636,5.198114450929348,2nd_test,33,2004.02.12.16.02.39,0.0782099573325959,0
