partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds,method
iid,1,10,1,512,0.001,0.7309812188148499,0.7185814380645752,0.299492385786802,0.2938144329896907,0.9827586206896552,0.4523809523809524,0.6813445795088068,15138,60552,605520,605520,1211040,0.000616500000433,0.7461890000004132,IID
iid,2,10,1,512,0.001,0.7210220694541931,0.7053734064102173,0.3248730964467005,0.3015873015873015,0.9827586206896552,0.4615384615384615,0.8151823368891095,15138,60552,605520,605520,1211040,0.0007969000007506,0.0576089999995019,IID
iid,3,10,1,512,0.001,0.7061027944087982,0.6915391087532043,0.4111675126903553,0.3333333333333333,1.0,0.5,0.8768295708260978,15138,60552,605520,605520,1211040,0.0014240999998946,0.0603414999995948,IID
iid,4,10,1,512,0.001,0.6952043950557709,0.676957905292511,0.5939086294416244,0.4166666666666667,0.9482758620689656,0.5789473684210527,0.9149094517489458,15138,60552,605520,605520,1211040,0.001369299999169,0.0512301999997362,IID
iid,5,10,1,512,0.001,0.6814018964767456,0.6615668535232544,0.7614213197969543,0.5591397849462365,0.896551724137931,0.6887417218543046,0.926693128256016,15138,60552,605520,605520,1211040,0.0013733999994656,0.0527498000001287,IID
iid,6,10,1,512,0.001,0.6675700366497039,0.6450547575950623,0.8934010152284264,0.8135593220338984,0.8275862068965517,0.8205128205128205,0.9358719920615232,15138,60552,605520,605520,1211040,0.001405899999554,0.0524633000004541,IID
iid,7,10,1,512,0.001,0.6532443761825562,0.6281231045722961,0.9187817258883249,0.9375,0.7758620689655172,0.8490566037735849,0.9397171917638304,15138,60552,605520,605520,1211040,0.0006108999996286,0.0526466000001164,IID
iid,8,10,1,512,0.001,0.6361871421337127,0.6100360751152039,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9448027784668817,15138,60552,605520,605520,1211040,0.0006018000003678,0.05546509999931,IID
iid,9,10,1,512,0.001,0.6201299667358399,0.5909982323646545,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.9469114363681468,15138,60552,605520,605520,1211040,0.0013812999995934,0.0495160999998915,IID
iid,10,10,1,512,0.001,0.5988286972045899,0.5707608461380005,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.950756636070454,15138,60552,605520,605520,1211040,0.001382100000228,0.0568760999994992,IID
iid,11,10,1,512,0.001,0.5799167156219482,0.5494962334632874,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9538576035723146,15138,60552,605520,605520,1211040,0.0014041000003999,0.0496455000002242,IID
iid,12,10,1,512,0.001,0.5615156888961792,0.5274431109428406,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9562143388737286,15138,60552,605520,605520,1211040,0.0016814999999041,0.0574857000001429,IID
iid,13,10,1,512,0.001,0.540518194437027,0.5046483278274536,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9579508806747704,15138,60552,605520,605520,1211040,0.0013686000002053,0.0528937000008227,IID
iid,14,10,1,512,0.001,0.5158454686403274,0.4811948239803314,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.96018357727611,15138,60552,605520,605520,1211040,0.0006182000006447,0.0468082000006688,IID
iid,15,10,1,512,0.001,0.4944207221269607,0.4579211473464966,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9611758868767056,15138,60552,605520,605520,1211040,0.0013838000004398,0.0578254000001834,IID
balanced_noniid,1,10,1,512,0.001,0.732064813375473,0.7220433354377747,0.2944162436548223,0.2923076923076923,0.9827586206896552,0.4505928853754941,0.6297444802778467,15138,60552,605520,605520,1211040,0.0014207000003807,0.7484636999997747,Balanced Non-IID
balanced_noniid,2,10,1,512,0.001,0.7226628661155701,0.7123901844024658,0.3096446700507614,0.296875,0.9827586206896552,0.456,0.7458447035475069,15138,60552,605520,605520,1211040,0.0014642000005551,0.0535884000000805,Balanced Non-IID
balanced_noniid,3,10,1,512,0.001,0.7151930689811706,0.7025723457336426,0.3451776649746192,0.3081081081081081,0.9827586206896552,0.4691358024691358,0.829694864797817,15138,60552,605520,605520,1211040,0.0013910000016039,0.0516205999992962,Balanced Non-IID
balanced_noniid,4,10,1,512,0.001,0.7070846080780029,0.6924702525138855,0.4060913705583756,0.3314285714285714,1.0,0.4978540772532189,0.8743487968246093,15138,60552,605520,605520,1211040,0.0014184999999997,0.0513341999994736,Balanced Non-IID
balanced_noniid,5,10,1,512,0.001,0.6954843044281006,0.6816031336784363,0.4974619289340101,0.3660130718954248,0.9655172413793104,0.5308056872037915,0.90858347804515,15138,60552,605520,605520,1211040,0.0004688999997597,0.0475796999999147,Balanced Non-IID
balanced_noniid,6,10,1,512,0.001,0.6874940276145936,0.670432984828949,0.6649746192893401,0.4655172413793103,0.9310344827586208,0.6206896551724138,0.9229719672537832,15138,60552,605520,605520,1211040,0.0015660999997635,0.0542252999985066,Balanced Non-IID
balanced_noniid,7,10,1,512,0.001,0.6763210773468018,0.6588791012763977,0.7969543147208121,0.6046511627906976,0.896551724137931,0.7222222222222222,0.9317787149590672,15138,60552,605520,605520,1211040,0.0013911000005464,0.0560400000013032,Balanced Non-IID
balanced_noniid,8,10,1,512,0.001,0.6645339906215668,0.6466767191886902,0.8883248730964467,0.8,0.8275862068965517,0.8135593220338984,0.9372364177623418,15138,60552,605520,605520,1211040,0.0005722000005334,0.0437440999994578,Balanced Non-IID
