partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
iid,1,10,1,512,0.001,0.7309812188148499,0.7185814380645752,0.29949238578680204,0.29381443298969073,0.9827586206896551,0.4523809523809524,0.6813445795088068,15138,60552,605520,605520,1211040,0.0006165000004330068,0.7461890000004132
iid,2,10,1,512,0.001,0.7210220694541931,0.7053734064102173,0.3248730964467005,0.30158730158730157,0.9827586206896551,0.46153846153846156,0.8151823368891095,15138,60552,605520,605520,1211040,0.0007969000007506111,0.057608999999501975
iid,3,10,1,512,0.001,0.7061027944087982,0.6915391087532043,0.41116751269035534,0.3333333333333333,1.0,0.5,0.8768295708260978,15138,60552,605520,605520,1211040,0.001424099999894679,0.060341499999594816
iid,4,10,1,512,0.001,0.6952043950557709,0.676957905292511,0.5939086294416244,0.4166666666666667,0.9482758620689655,0.5789473684210527,0.9149094517489458,15138,60552,605520,605520,1211040,0.0013692999991690158,0.051230199999736215
iid,5,10,1,512,0.001,0.6814018964767456,0.6615668535232544,0.7614213197969543,0.5591397849462365,0.896551724137931,0.6887417218543046,0.926693128256016,15138,60552,605520,605520,1211040,0.0013733999994656187,0.052749800000128744
iid,6,10,1,512,0.001,0.6675700366497039,0.6450547575950623,0.8934010152284264,0.8135593220338984,0.8275862068965517,0.8205128205128205,0.9358719920615232,15138,60552,605520,605520,1211040,0.0014058999995540944,0.05246330000045418
iid,7,10,1,512,0.001,0.6532443761825562,0.6281231045722961,0.9187817258883249,0.9375,0.7758620689655172,0.8490566037735849,0.9397171917638304,15138,60552,605520,605520,1211040,0.0006108999996286002,0.05264660000011645
iid,8,10,1,512,0.001,0.6361871421337127,0.6100360751152039,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9448027784668817,15138,60552,605520,605520,1211040,0.0006018000003678026,0.05546509999931004
iid,9,10,1,512,0.001,0.6201299667358399,0.5909982323646545,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.9469114363681469,15138,60552,605520,605520,1211040,0.001381299999593466,0.049516099999891594
iid,10,10,1,512,0.001,0.5988286972045899,0.5707608461380005,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.950756636070454,15138,60552,605520,605520,1211040,0.0013821000002280925,0.056876099999499274
iid,11,10,1,512,0.001,0.5799167156219482,0.5494962334632874,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9538576035723146,15138,60552,605520,605520,1211040,0.0014041000003999216,0.049645500000224274
iid,12,10,1,512,0.001,0.5615156888961792,0.5274431109428406,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9562143388737286,15138,60552,605520,605520,1211040,0.0016814999999041902,0.05748570000014297
iid,13,10,1,512,0.001,0.540518194437027,0.5046483278274536,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9579508806747705,15138,60552,605520,605520,1211040,0.0013686000002053333,0.05289370000082272
iid,14,10,1,512,0.001,0.5158454686403274,0.4811948239803314,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9601835772761101,15138,60552,605520,605520,1211040,0.0006182000006447197,0.046808200000668876
iid,15,10,1,512,0.001,0.49442072212696075,0.4579211473464966,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9611758868767055,15138,60552,605520,605520,1211040,0.0013838000004398054,0.057825400000183436
