experiment,category,rounds,final_accuracy,final_precision,final_recall,final_f1,final_roc_auc,final_test_loss,best_f1,best_f1_round,best_roc_auc,best_roc_auc_round,best_accuracy,best_accuracy_round,total_communication_mib,total_round_time_seconds
IID,distribution,15,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9611758868767056,0.4579211473464966,0.8514851485148515,8,0.9611758868767056,15,0.9238578680203046,8,17.324066162109375,1.4997452000006883
Balanced Non-IID,distribution,15,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9567104936740264,0.5465102791786194,0.8627450980392157,10,0.9567104936740264,15,0.9289340101522844,10,17.324066162109375,1.4892168999995188
Unbalanced Non-IID,distribution,15,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9568345323741008,0.5552849769592285,0.8737864077669902,11,0.9568345323741008,15,0.934010152284264,11,17.324066162109375,1.536959899999601
Random Dropout 20%,dropout,15,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9543537583726124,0.5561949610710144,0.8846153846153846,11,0.9543537583726124,15,0.9390862944162436,11,13.8592529296875,1.4096602000026903
Random Dropout 40%,dropout,15,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.9565864549739518,0.5703765153884888,0.8846153846153846,11,0.9565864549739518,15,0.9390862944162436,11,10.394439697265625,1.2992878999993989
Random Dropout 50%,dropout,15,0.868020304568528,1.0,0.5517241379310345,0.7111111111111111,0.9485239394691144,0.5582733154296875,0.8431372549019608,10,0.9485239394691144,14,0.9187817258883249,10,8.662033081054688,1.219887199998993
Sensor Noise,reliability,15,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9567104936740264,0.5568139553070068,0.8737864077669902,11,0.9567104936740264,15,0.934010152284264,11,17.324066162109375,1.9410103000009253
Stale Updates,reliability,15,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9550979905730588,0.5647150278091431,0.8846153846153846,11,0.9550979905730588,15,0.9390862944162436,11,17.324066162109375,1.70672469999954
Persistent Failure,reliability,15,0.9441624365482234,0.9272727272727272,0.8793103448275862,0.9026548672566372,0.9693624410816176,0.5843422412872314,0.9026548672566372,15,0.9693624410816176,15,0.9441624365482234,15,14.783203125,1.5920961000010718
Noise + Stale,reliability,15,0.934010152284264,0.9787234042553192,0.7931034482758621,0.8761904761904762,0.9440585462664352,0.62069171667099,0.8761904761904762,15,0.9440585462664352,15,0.934010152284264,15,17.324066162109375,2.4244068999996666
Full Mixed,reliability,15,0.8375634517766497,1.0,0.4482758620689655,0.6190476190476191,0.9343835276606302,0.5863351225852966,0.8080808080808081,10,0.9343835276606302,15,0.9035532994923858,10,16.053634643554688,1.6174241999979126
