metric,value
scenario,clean
rounds,15
clients,10
local_epochs,1
batch_size,512
learning_rate,0.001
seed,42
data_weight,0.15
loss_weight,0.35
stability_weight,0.35
availability_weight,0.15
final_accuracy,0.8934010152284264
final_precision,1.0
final_recall,0.6379310344827587
final_f1,0.7789473684210526
final_roc_auc,0.9559662614735798
final_test_loss,0.5509469509124756
total_communication_bytes,18165600.0
total_communication_mib,17.324066162109375
total_round_time_seconds,1.5244036999956734
