scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_raw_reliability,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
clean,1,10,0,0,0,0.7318563067140745,0.7119870543479919,0.7223148941993713,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6299925576779954,15138,60552,605520,605520,1211040,0.0008591000005253591,0.781984499999453
clean,2,10,0,0,0,0.7332782372666202,0.7036734163761139,0.7130977511405945,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7514264450508559,15138,60552,605520,605520,1211040,0.0007858999997552019,0.05027499999960128
clean,3,10,0,0,0,0.7331775030767876,0.7039444208145141,0.7036750316619873,0.3350253807106599,0.3048128342245989,0.9827586206896551,0.46530612244897956,0.8285785164971471,15138,60552,605520,605520,1211040,0.0008441999998467509,0.048344799999540555
clean,4,10,0,0,0,0.7359905481902143,0.6876665830612183,0.6939032077789307,0.4010152284263959,0.32954545454545453,1.0,0.49572649572649574,0.8737286033242373,15138,60552,605520,605520,1211040,0.0007862000002205605,0.055564599999343045
clean,5,10,0,0,0,0.7360354199523774,0.6871953547000885,0.684140145778656,0.4619289340101523,0.35,0.9655172413793104,0.5137614678899083,0.9069709749441827,15138,60552,605520,605520,1211040,0.0008240000006480841,0.058625300000130665
clean,6,10,0,0,0,0.7368814031126336,0.6823446810245514,0.6737019419670105,0.6192893401015228,0.4330708661417323,0.9482758620689655,0.5945945945945946,0.9206152319523692,15138,60552,605520,605520,1211040,0.0016618000008747913,0.05689700000039011
clean,7,10,0,0,0,0.7381132026010884,0.6754868924617767,0.662982165813446,0.7411167512690355,0.5353535353535354,0.9137931034482759,0.6751592356687898,0.9275613991565369,15138,60552,605520,605520,1211040,0.0007767999995849095,0.06200849999913771
clean,8,10,0,0,0,0.739506475218666,0.6674345016479493,0.6512629985809326,0.868020304568528,0.7352941176470589,0.8620689655172413,0.7936507936507936,0.933763334160258,15138,60552,605520,605520,1211040,0.0008636000002297806,0.06419529999948281
clean,9,10,0,0,0,0.7410448788701681,0.6589323699474334,0.6386841535568237,0.8984771573604061,0.8518518518518519,0.7931034482758621,0.8214285714285714,0.9388489208633094,15138,60552,605520,605520,1211040,0.0007771999989927281,0.05025799999930314
clean,10,10,0,0,0,0.7425650419159737,0.6507380604743958,0.6257895231246948,0.934010152284264,0.9787234042553191,0.7931034482758621,0.8761904761904762,0.9420739270652443,15138,60552,605520,605520,1211040,0.0007860000005166512,0.04537320000054024
clean,11,10,0,0,0,0.7439047789417246,0.6437053799629211,0.6120179891586304,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9446787397668072,15138,60552,605520,605520,1211040,0.0018270999989908887,0.0629785000000993
clean,12,10,0,0,0,0.7455692728822204,0.6351007342338562,0.597852885723114,0.9187817258883249,1.0,0.7241379310344828,0.84,0.9479037459687423,15138,60552,605520,605520,1211040,0.0008178000007319497,0.043837699999130564
clean,13,10,0,0,0,0.7474587260663137,0.6254144251346588,0.5826371908187866,0.9086294416243654,1.0,0.6896551724137931,0.8163265306122449,0.9500124038700075,15138,60552,605520,605520,1211040,0.0008962000010797055,0.05217550000088522
clean,14,10,0,0,0,0.7488765494838526,0.6185997188091278,0.5671813488006592,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9534854874720913,15138,60552,605520,605520,1211040,0.0008567999993829289,0.04437890000008338
clean,15,10,0,0,0,0.7515914569587652,0.604908150434494,0.5509469509124756,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9559662614735798,15138,60552,605520,605520,1211040,0.000846199998704833,0.0475068999985524
