metric,value
scenario,mixed_full
rounds,15
clients,10
local_epochs,1
batch_size,512
learning_rate,0.001
seed,42
data_weight,0.15
loss_weight,0.35
stability_weight,0.35
availability_weight,0.15
final_accuracy,0.8223350253807107
final_precision,1.0
final_recall,0.39655172413793105
final_f1,0.5679012345679012
final_roc_auc,0.9338873728603324
final_test_loss,0.5809933543205261
total_communication_bytes,16833456.0
total_communication_mib,16.053634643554688
total_round_time_seconds,1.4479657000047155
