round,available_clients,unavailable_clients,noisy_clients,stale_clients,mean_reliability
1,10,0,1,1,0.9366666666666668
2,10,0,1,1,0.9366666666666668
3,10,0,1,1,0.9366666666666668
4,10,0,1,1,0.9366666666666668
5,10,0,1,1,0.9366666666666668
6,10,0,1,1,0.9366666666666668
7,10,0,1,1,0.9366666666666668
8,10,0,1,1,0.9366666666666668
9,10,0,1,1,0.9366666666666668
10,10,0,1,1,0.9366666666666668
11,10,0,1,1,0.9366666666666668
12,10,0,1,1,0.9366666666666668
13,10,0,1,1,0.9366666666666668
14,10,0,1,1,0.9366666666666668
15,10,0,1,1,0.9366666666666668
