round,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability
1,10,0,1,1,0.9366666666666668
2,10,0,1,1,0.9366666666666668
3,10,0,1,1,0.9366666666666668
4,10,0,1,1,0.9366666666666668
5,9,1,1,1,0.8366666666666667
6,9,1,1,1,0.8366666666666667
7,9,1,1,1,0.8366666666666667
8,9,1,1,1,0.8366666666666667
9,9,1,1,1,0.8366666666666667
10,9,1,1,1,0.8366666666666667
11,9,1,1,1,0.8366666666666667
12,9,1,1,1,0.8366666666666667
13,9,1,1,1,0.8366666666666667
14,9,1,1,1,0.8366666666666667
15,9,1,1,1,0.8366666666666667
