round,available_clients,unavailable_clients,noisy_clients,stale_clients,mean_reliability
1,10,0,2,0,0.9333333333333333
2,10,0,2,0,0.9333333333333333
3,10,0,2,0,0.9333333333333333
4,10,0,2,0,0.9333333333333333
5,10,0,2,0,0.9333333333333333
6,10,0,2,0,0.9333333333333333
7,10,0,2,0,0.9333333333333333
8,10,0,2,0,0.9333333333333333
9,10,0,2,0,0.9333333333333333
10,10,0,2,0,0.9333333333333333
11,10,0,2,0,0.9333333333333333
12,10,0,2,0,0.9333333333333333
13,10,0,2,0,0.9333333333333333
14,10,0,2,0,0.9333333333333333
15,10,0,2,0,0.9333333333333333
