round,available_clients,unavailable_clients,noisy_clients,stale_clients,mean_reliability
1,10,0,0,2,0.9400000000000001
2,10,0,0,2,0.9400000000000001
3,10,0,0,2,0.9400000000000001
4,10,0,0,2,0.9400000000000001
5,10,0,0,2,0.9400000000000001
6,10,0,0,2,0.9400000000000001
7,10,0,0,2,0.9400000000000001
8,10,0,0,2,0.9400000000000001
9,10,0,0,2,0.9400000000000001
10,10,0,0,2,0.9400000000000001
11,10,0,0,2,0.9400000000000001
12,10,0,0,2,0.9400000000000001
13,10,0,0,2,0.9400000000000001
14,10,0,0,2,0.9400000000000001
15,10,0,0,2,0.9400000000000001
